	H01	H02	H03	H04	H05	H06	H07	H08	date	rands	notes
13844	P0141	Consumer Price Index	6111003	Vitamin and mineral supplement	Price (Rand)	Monthly	10567	For 30	2018-07-01 	107.21	
13923	P0141	Consumer Price Index	6111006	Cold and flu medication	Price (Rand)	Monthly	10530	48.8 Gram	2018-07-01 	42.33	
14002	P0141	Consumer Price Index	6111007	Heartburn medication	Price (Rand)	Monthly	11011	150 Millilitre	2018-07-01 	79.47	
14081	P0141	Consumer Price Index	6111009	Sore throat lozenges	Price (Rand)	Monthly	10564	For 24	2018-07-01 	54.52	
14160	P0141	Consumer Price Index	6111010	Laxatives	Price (Rand)	Monthly	10553	For 12	2018-07-01 	17.19	
14239	P0141	Consumer Price Index	6111013	Eyedrops	Price (Rand)	Monthly	10993	10 Millilitre	2018-07-01 	47.89	
14318	P0141	Consumer Price Index	7221002	Diesel	Price (Rand)	Monthly	10737	Per Litre	2018-07-01 	15.82	
14397	P0141	Consumer Price Index	9131005	Printer cartriges	Price (Rand)	Monthly	11015	Each	2018-07-01 	..	
14476	P0141	Consumer Price Index	9341001	Dog food - Pellets	Price (Rand)	Monthly	10937	8 Kilogram	2018-07-01 	128.21	
14555	P0141	Consumer Price Index	9341002	Dog food - tinned	Price (Rand)	Monthly	10908	775 Gram	2018-07-01 	23.78	
14634	P0141	Consumer Price Index	9341003	Cat food - tinned	Price (Rand)	Monthly	10881	385 Gram	2018-07-01 	14.98	
14713	P0141	Consumer Price Index	9341004	Cat food - pellets	Price (Rand)	Monthly	10922	1.75 Kilogram	2018-07-01 	50.82	
14792	P0141	Consumer Price Index	9541007	Printer paper	Price (Rand)	Monthly	11075	For 2500	2018-07-01 	..	
14871	P0141	Consumer Price Index	12131001	Shampoo	Price (Rand)	Monthly	11034	400 Millilitre	2018-07-01 	47.13	
14950	P0141	Consumer Price Index	12131002	Conditioner	Price (Rand)	Monthly	11034	400 Millilitre	2018-07-01 	51.88	
15029	P0141	Consumer Price Index	12131003	Tissues	Price (Rand)	Monthly	10637	Pack Of 2 Ply 180 Tissues	2018-07-01 	23.3	
15108	P0141	Consumer Price Index	12131004	Sanitory Pads	Price (Rand)	Monthly	10740	Per Pack	2018-07-01 	20.59	
15187	P0141	Consumer Price Index	12131005	Tampons	Price (Rand)	Monthly	10529	For 16	2018-07-01 	29.1	
15266	P0141	Consumer Price Index	12131006	Bar Of Bath Soap	Price (Rand)	Monthly	10851	175 Gram	2018-07-01 	12.32	
15345	P0141	Consumer Price Index	12131007	Tooth Brush	Price (Rand)	Monthly	11015	Each	2018-07-01 	25.28	
15424	P0141	Consumer Price Index	12131008	Skin Lotion	Price (Rand)	Monthly	11034	400 Millilitre	2018-07-01 	30.14	
15503	P0141	Consumer Price Index	12131010	Toilet Paper	Price (Rand)	Monthly	10520	Pack Of 2 Ply 9 Rolls	2018-07-01 	55.34	
15582	P0141	Consumer Price Index	12131012	Tooth Paste	Price (Rand)	Monthly	11008	100 Millilitre	2018-07-01 	13.19	
15661	P0141	Consumer Price Index	12131013	Aerosol Deodorant	Price (Rand)	Monthly	11011	150 Millilitre	2018-07-01 	28.97	
15740	P0141	Consumer Price Index	12131014	Hair Relaxers	Price (Rand)	Monthly	11019	250 Millilitre	2018-07-01 	28.15	
15819	P0141	Consumer Price Index	12131015	Hair Colour	Price (Rand)	Monthly	10740	Per	2018-07-01 	76.57	
15898	P0141	Consumer Price Index	12131017	Bubble Bath	Price (Rand)	Monthly	10963	2 Litre	2018-07-01 	52.69	
15977	P0141	Consumer Price Index	12131018	Powder (Including Baby Powder)	Price (Rand)	Monthly	10855	200 Gram	2018-07-01 	29.8	
16056	P0141	Consumer Price Index	12131019	Wipes	Price (Rand)	Monthly	10722	For 40	2018-07-01 	..	
16135	P0141	Consumer Price Index	12131020	Make-up foundation	Price (Rand)	Monthly	10998	30 Millilitre	2018-07-01 	..	
16214	P0141	Consumer Price Index	12131021	Non-electrical shavers	Price (Rand)	Monthly	10531	For 5	2018-07-01 	..	
20	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	18.45	
99	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10924	2 Kilogram	2018-08-01 	25.6	
178	P0141	Consumer Price Index	1112001	Loaf of white bread	Price (Rand)	monthly	10902	700 Gram	2018-08-01 	12.98	
257	P0141	Consumer Price Index	1112002	Loaf of brown bread	Price (Rand)	monthly	10902	700 Gram	2018-08-01 	11.58	
336	P0141	Consumer Price Index	1112003	Sweet biscuits	Price (Rand)	monthly	10855	200 Gram	2018-08-01 	15.71	
415	P0141	Consumer Price Index	1112004	Savoury biscuits	Price (Rand)	monthly	10855	200 Gram	2018-08-01 	21.26	
494	P0141	Consumer Price Index	1112005	Bread rolls	Price (Rand)	monthly	10558	For 6	2018-08-01 	11.72	
573	P0141	Consumer Price Index	1112301	Rusks	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	32.8	
652	P0141	Consumer Price Index	1113001	Spaghetti	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	12.19	
731	P0141	Consumer Price Index	1113002	Macaroni	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	11.69	
810	P0141	Consumer Price Index	1113003	Pasta (excl spaghetti, macaroni)	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	17.36	
889	P0141	Consumer Price Index	1113004	Instant noodles (e.g. 2 minute noodles)	Price (Rand)	monthly	10547	73 Gram	2018-08-01 	4.95	
968	P0141	Consumer Price Index	1116001	Cake flour	Price (Rand)	monthly	10926	2.5 Kilogram	2018-08-01 	24.89	
1047	P0141	Consumer Price Index	1116002	Bread flour	Price (Rand)	monthly	10926	2.5 Kilogram	2018-08-01 	30.16	
1126	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10926	2,5 Kilogram	2018-08-01 	..	
1205	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10931	5 Kilogram	2018-08-01 	..	
1284	P0141	Consumer Price Index	1116005	Cereals	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	34.1	
1363	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	10.09	
1442	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10926	2.5 Kilogram	2018-08-01 	20.78	
1521	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10931	5 Kilogram	2018-08-01 	34.63	
1600	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	7.36	
1679	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10926	2.5 Kilogram	2018-08-01 	17.58	
1758	P0141	Consumer Price Index	1116010	Hot cereals (porridge) incl instant porridge	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	19.06	
1837	P0141	Consumer Price Index	1116011	Ready-mix flour	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	24.33	
1916	P0141	Consumer Price Index	1116012	Samp	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	..	
1995	P0141	Consumer Price Index	1121001	Beef rump steak	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	125.68	
2074	P0141	Consumer Price Index	1121002	Beef brisket	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	86.3	
2153	P0141	Consumer Price Index	1121003	Beef chuck	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	87.23	
2232	P0141	Consumer Price Index	1121004	Beef T-bone	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	103.6	
2311	P0141	Consumer Price Index	1121005	Beef mince	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	84.02	
2390	P0141	Consumer Price Index	1121006	Beef fillet	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	190.18	
2469	P0141	Consumer Price Index	1121008	Beef Sirloin	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	136.96	
2548	P0141	Consumer Price Index	1121009	Stewing beef	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	78.03	
2627	P0141	Consumer Price Index	1121010	Beef offal	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	35.35	
2706	P0141	Consumer Price Index	1122001	Pork chops	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	74.22	
2785	P0141	Consumer Price Index	1122002	Pork ribs	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	72.92	
2864	P0141	Consumer Price Index	1122003	Pork fillet	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	99.03	
2943	P0141	Consumer Price Index	1123002	Mutton/Lamb rib chop	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	158.19	
3022	P0141	Consumer Price Index	1123003	Mutton/Lamb loin chop	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	160.69	
3101	P0141	Consumer Price Index	1123005	Mutton/Lamb leg	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	137.51	
3180	P0141	Consumer Price Index	1123006	Mutton/Lamb neck	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	120.44	
3259	P0141	Consumer Price Index	1123007	Mutton/Lamb ofal	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	50.6	
3338	P0141	Consumer Price Index	1123008	Stewing mutton/lamb	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	114.27	
3417	P0141	Consumer Price Index	1124001	Whole chicken - fresh	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	46.43	
3496	P0141	Consumer Price Index	1124002	Chicken portions - fresh	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	59.89	
3575	P0141	Consumer Price Index	1124005	IQF chicken portions	Price (Rand)	monthly	10924	2 Kilogram	2018-08-01 	66.9	
3654	P0141	Consumer Price Index	1124006	Chicken portions frozen - non IQF	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	47.72	
3733	P0141	Consumer Price Index	1124007	Chicken giblets (neck, gizzards, hearts, etc)	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	34.69	
3812	P0141	Consumer Price Index	1125004	Polony	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	30.79	
3891	P0141	Consumer Price Index	1125005	Ham	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	38.61	
3970	P0141	Consumer Price Index	1125006	Biltong	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	277.16	
4049	P0141	Consumer Price Index	1125007	Bacon	Price (Rand)	monthly	10855	200 Gram	2018-08-01 	28.03	
4128	P0141	Consumer Price Index	1125009	Sausage	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	81.92	
4207	P0141	Consumer Price Index	1126002	Beef extract	Price (Rand)	monthly	10839	120 Gram	2018-08-01 	13.62	
4286	P0141	Consumer Price Index	1126005	Corned beef	Price (Rand)	monthly	10869	300 Gram	2018-08-01 	22.31	
4365	P0141	Consumer Price Index	1131001	Hake - frozen	Price (Rand)	monthly	10884	400 Gram	2018-08-01 	60.45	
4444	P0141	Consumer Price Index	1134001	Fish fingers - frozen	Price (Rand)	monthly	10884	400 Gram	2018-08-01 	42.05	
4523	P0141	Consumer Price Index	1134002	Tuna - tinned	Price (Rand)	monthly	10850	170 Gram	2018-08-01 	20.09	
4602	P0141	Consumer Price Index	1134003	Fish (excl tuna) - tinned	Price (Rand)	monthly	10884	400 Gram	2018-08-01 	18.32	
4681	P0141	Consumer Price Index	1141001	Full cream milk - fresh	Price (Rand)	monthly	10963	2 Litre	2018-08-01 	25.73	
4760	P0141	Consumer Price Index	1141002	Full cream milk - long life	Price (Rand)	monthly	10960	1 Litre	2018-08-01 	13.84	
4839	P0141	Consumer Price Index	1142001	Low fat milk - fresh	Price (Rand)	monthly	10963	2 Litre	2018-08-01 	26.75	
4918	P0141	Consumer Price Index	1142002	Low fat milk - long life	Price (Rand)	monthly	10960	1 Litre	2018-08-01 	13.67	
4997	P0141	Consumer Price Index	1143001	Powdered milk	Price (Rand)	monthly	10916	900 Gram	2018-08-01 	137.41	
5076	P0141	Consumer Price Index	1143002	Whiteners	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	24.56	
5155	P0141	Consumer Price Index	1143003	Condensed milk	Price (Rand)	monthly	10881	385 Gram	2018-08-01 	23.45	
5234	P0141	Consumer Price Index	1144001	Plain yogurt	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	29.93	
5313	P0141	Consumer Price Index	1144002	Flavoured yogurt	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	29.29	
5392	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	100.35	
5471	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10916	900 Gram	2018-08-01 	104.48	
5550	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10855	200 Gram	2018-08-01 	27.2	
5629	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10916	900 Gram	2018-08-01 	107.7	
5708	P0141	Consumer Price Index	1145003	Cheese spread	Price (Rand)	monthly	10863	250 Gram	2018-08-01 	34.55	
5787	P0141	Consumer Price Index	1145004	Feta cheese	Price (Rand)	monthly	10884	400 Gram	2018-08-01 	46.98	
5866	P0141	Consumer Price Index	1146001	Cream - fresh	Price (Rand)	monthly	11019	250 Millilitre	2018-08-01 	22.88	
5945	P0141	Consumer Price Index	1146002	Sour milk	Price (Rand)	monthly	10924	2 Kilogram	2018-08-01 	27.34	
6024	P0141	Consumer Price Index	1146003	Custard - prepared	Price (Rand)	monthly	10960	1 Litre	2018-08-01 	26.29	
6103	P0141	Consumer Price Index	1146004	Maize based food drink (e.g. mageu )	Price (Rand)	monthly	10960	1 Litre	2018-08-01 	13.93	
6182	P0141	Consumer Price Index	1146005	Flavoured milk	Price (Rand)	monthly	11022	300 Millilitre	2018-08-01 	11.45	
6261	P0141	Consumer Price Index	1147001	Eggs	Price (Rand)	monthly	10558	For 6	2018-08-01 	17.09	
6340	P0141	Consumer Price Index	1147001	Eggs	Price (Rand)	monthly	10563	For 18	2018-08-01 	44.02	
6419	P0141	Consumer Price Index	1152001	Margarine spread (in a tub)	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	26.95	
6498	P0141	Consumer Price Index	1152002	Brick margarine	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	22.55	
6577	P0141	Consumer Price Index	1152003	Peanut butter	Price (Rand)	monthly	10884	400 Gram	2018-08-01 	28.4	
6656	P0141	Consumer Price Index	1154001	Sunflower oil (incl canola oil)	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	22.26	
6735	P0141	Consumer Price Index	1161001	Oranges	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	13.81	
6814	P0141	Consumer Price Index	1162001	Bananas	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	13.27	
6893	P0141	Consumer Price Index	1163001	Apples	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	18.35	
6972	P0141	Consumer Price Index	1164001	Pears	Price (Rand)	Monthly	10734	Per Kilogram	2018-08-01 	19.94	
7051	P0141	Consumer Price Index	1165004	Avocados	Price (Rand)	Monthly	11015	Each	2018-08-01 	6.96	
7130	P0141	Consumer Price Index	1167001	Paw paw	Price (Rand)	Monthly	11015	Each	2018-08-01 	14.32	
7209	P0141	Consumer Price Index	1167002	Pineapple	Price (Rand)	Monthly	11015	Each	2018-08-01 	10.62	
7288	P0141	Consumer Price Index	1168004	Peanuts	Price (Rand)	monthly	10845	150 Gram	2018-08-01 	17.01	
7367	P0141	Consumer Price Index	1171001	Lettuce	Price (Rand)	monthly	11015	Each	2018-08-01 	13.22	
7446	P0141	Consumer Price Index	1171002	Spinach/morogo	Price (Rand)	monthly	10735	Per Bunch	2018-08-01 	9.5	
7525	P0141	Consumer Price Index	1172001	Cabbage	Price (Rand)	monthly	11015	Each	2018-08-01 	14.27	
7604	P0141	Consumer Price Index	1172002	Cauliflower	Price (Rand)	monthly	11015	Each	2018-08-01 	20.07	
7683	P0141	Consumer Price Index	1172003	Broccoli	Price (Rand)	monthly	11015	Each	2018-08-01 	20.29	
7762	P0141	Consumer Price Index	1173001	Tomatoes	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	16.6	
7841	P0141	Consumer Price Index	1173002	Pumpkin	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	11.33	
7920	P0141	Consumer Price Index	1173003	Green/red/yellow pepper	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	34.06	
7999	P0141	Consumer Price Index	1173004	Vegetables  - frozen	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	34.78	
8078	P0141	Consumer Price Index	1173006	Cucumber	Price (Rand)	monthly	11015	Each	2018-08-01 	14.2	
8157	P0141	Consumer Price Index	1174001	Onions	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	15	
8236	P0141	Consumer Price Index	1174002	Carrots	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	10.53	
8315	P0141	Consumer Price Index	1174003	Beetroot	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	12.15	
8394	P0141	Consumer Price Index	1174005	Mushrooms	Price (Rand)	monthly	10863	250 Gram	2018-08-01 	20.95	
8473	P0141	Consumer Price Index	1175002	Beans - dried	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	19.01	
8552	P0141	Consumer Price Index	1176002	Baked beans - tinned	Price (Rand)	monthly	10886	410 Gram	2018-08-01 	9.96	
8631	P0141	Consumer Price Index	1176005	Prepared salads	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	68.41	
8710	P0141	Consumer Price Index	1176006	Atchar	Price (Rand)	monthly	10884	400 Gram	2018-08-01 	27.56	
8789	P0141	Consumer Price Index	1176007	Mixed vegetables - tinned	Price (Rand)	monthly	10886	410 Gram	2018-08-01 	14.25	
8868	P0141	Consumer Price Index	1177001	Potatoes	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	11.77	
8947	P0141	Consumer Price Index	1178001	Sweet potatoes	Price (Rand)	monthly	10734	Per Kilogram	2018-08-01 	16.75	
9026	P0141	Consumer Price Index	1178002	Potato chips - frozen	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	29.97	
9105	P0141	Consumer Price Index	1178003	Potato crisps	Price (Rand)	monthly	10840	125 Gram	2018-08-01 	15.56	
9184	P0141	Consumer Price Index	1178004	Corn chips	Price (Rand)	monthly	10845	150 Gram	2018-08-01 	15.94	
9263	P0141	Consumer Price Index	1181001	White sugar	Price (Rand)	monthly	10926	2.5 Kilogram	2018-08-01 	35.12	
9342	P0141	Consumer Price Index	1181002	Brown sugar	Price (Rand)	monthly	10917	1 Kilogram	2018-08-01 	17.2	
9421	P0141	Consumer Price Index	1182001	Jam	Price (Rand)	monthly	10892	450 Gram	2018-08-01 	..	
9500	P0141	Consumer Price Index	1182001	Jam	Price (Rand)	monthly	10916	900 Gram	2018-08-01 	..	
9579	P0141	Consumer Price Index	1183001	Chocolate slab	Price (Rand)	monthly	10824	80 Gram	2018-08-01 	13.54	
9658	P0141	Consumer Price Index	1183002	Chocolate bar	Price (Rand)	monthly	11015	Each	2018-08-01 	9.07	
9737	P0141	Consumer Price Index	1184001	Sweets	Price (Rand)	monthly	10840	125 Gram	2018-08-01 	17.66	
9816	P0141	Consumer Price Index	1184002	Chewing gum	Price (Rand)	monthly	10746	For 10	2018-08-01 	11.39	
9895	P0141	Consumer Price Index	1185001	Ice cream	Price (Rand)	monthly	10699	1.8 Litre	2018-08-01 	53.08	
9974	P0141	Consumer Price Index	1185001	Ice cream	Price (Rand)	monthly	10963	2 Litre	2018-08-01 	50.66	
10053	P0141	Consumer Price Index	1191001	Vinegar	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	12.42	
10132	P0141	Consumer Price Index	1191002	Chutney	Price (Rand)	monthly	10894	470 Gram	2018-08-01 	26.29	
10211	P0141	Consumer Price Index	1191004	Tomato sauce	Price (Rand)	monthly	10581	700 Millilitre	2018-08-01 	24.07	
10290	P0141	Consumer Price Index	1191005	Mayonnaise	Price (Rand)	monthly	10906	750 Gram	2018-08-01 	24.63	
10369	P0141	Consumer Price Index	1191006	Salad dressing	Price (Rand)	monthly	11026	340 Millilitre	2018-08-01 	26.91	
10448	P0141	Consumer Price Index	1192001	Salt	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	9.97	
10527	P0141	Consumer Price Index	1192002	Spices (excl salt and curry powder)	Price (Rand)	monthly	11008	100 Millilitre	2018-08-01 	22.2	
10606	P0141	Consumer Price Index	1192003	Curry powder	Price (Rand)	monthly	10833	100 Gram	2018-08-01 	21.41	
10685	P0141	Consumer Price Index	1193001	Baby food - cereal	Price (Rand)	monthly	10863	250 Gram	2018-08-01 	27.97	
10764	P0141	Consumer Price Index	1193003	Baby food - milk formula	Price (Rand)	monthly	10916	900 Gram	2018-08-01 	141.95	
10843	P0141	Consumer Price Index	1193004	Instant yeast	Price (Rand)	monthly	10786	10 Gram	2018-08-01 	4.37	
10922	P0141	Consumer Price Index	1193005	Baking powder	Price (Rand)	monthly	10855	200 Gram	2018-08-01 	28.88	
11001	P0141	Consumer Price Index	1193006	Soup powder	Price (Rand)	monthly	10807	50 Gram	2018-08-01 	4.8	
11080	P0141	Consumer Price Index	1211001	Instant coffee	Price (Rand)	monthly	10863	250 Gram	2018-08-01 	36.05	
11159	P0141	Consumer Price Index	1211002	Ground coffee or coffee beans	Price (Rand)	monthly	10863	250 Gram	2018-08-01 	65.25	
11238	P0142	Consumer Price Index	1211003	Capuccino	Price (Rand)	monthly	11154	10 X 18 Gram	2018-08-01 	..	
11317	P0141	Consumer Price Index	1212001	Ceylon/black tea	Price (Rand)	monthly	10863	250 Gram	2018-08-01 	34.67	
11396	P0141	Consumer Price Index	1212002	Rooibos tea	Price (Rand)	monthly	10855	200 Gram	2018-08-01 	43.42	
11475	P0141	Consumer Price Index	1213001	Drinking chocolate (e.g.  milo, cocoa )	Price (Rand)	monthly	10895	500 Gram	2018-08-01 	54.72	
11554	P0141	Consumer Price Index	1221001	Mineral water - sparkling or still	Price (Rand)	monthly	11039	500 Millilitre	2018-08-01 	6.91	
11633	P0141	Consumer Price Index	1222001	Fizzy drinks - can	Price (Rand)	monthly	11022	300 Millilitre	2018-08-01 	9.76	
11712	P0141	Consumer Price Index	1222002	Fizzy drinks - bottle	Price (Rand)	monthly	10963	2 Litre	2018-08-01 	18.05	
11791	P0141	Consumer Price Index	1223001	Fruit juice	Price (Rand)	monthly	10960	1 Litre	2018-08-01 	20.11	
11870	P0141	Consumer Price Index	1223002	Fruit juice concentrates	Price (Rand)	monthly	10960	1 Litre	2018-08-01 	30.91	
11949	P0141	Consumer Price Index	1223003	Dairy mixture	Price (Rand)	monthly	10960	1 Litre	2018-08-01 	..	
12028	P0141	Consumer Price Index	2111001	Brandy	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	159.9	
12107	P0141	Consumer Price Index	2111002	Whiskey	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	182.07	
12186	P0141	Consumer Price Index	2111003	Liqueur	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	151.41	
12265	P0141	Consumer Price Index	2111004	Vodka	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	147.57	
12344	P0141	Consumer Price Index	2121001	Red wine	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	61.73	
12423	P0141	Consumer Price Index	2121002	White wine	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	52.05	
12502	P0141	Consumer Price Index	2122001	Spirit coolers or cider	Price (Rand)	monthly	11025	330 Millilitre	2018-08-01 	15.16	
12581	P0141	Consumer Price Index	2122002	Gin	Price (Rand)	monthly	11044	750 Millilitre	2018-08-01 	..	
12660	P0141	Consumer Price Index	2131004	Beer	Price (Rand)	monthly	11025	330 Millilitre	2018-08-01 	13.38	
12739	P0141	Consumer Price Index	2211001	Cigarettes	Price (Rand)	monthly	10527	For 20	2018-08-01 	37.34	
12818	P0141	Consumer Price Index	4531001	Paraffin	Price (Rand)	Monthly	11044	750 Millilitre	2018-08-01 	27.22	
12897	P0141	Consumer Price Index	5521003	Light bulb - non-energy savers	Price (Rand)	Monthly	11015	Each	2018-08-01 	32.46	
12976	P0141	Consumer Price Index	5521007	Light bulb - energy savers	Price (Rand)	Monthly	11015	Each	2018-08-01 	36.77	
13055	P0141	Consumer Price Index	5521008	Light bulb	Price (Rand)	Monthly	11015	Each	2018-08-01 	..	
13134	P0141	Consumer Price Index	5611002	Laundry soap	Price (Rand)	Monthly	10895	500 Gram	2018-08-01 	13.74	
13213	P0141	Consumer Price Index	5611003	Washing powder	Price (Rand)	Monthly	10924	2 Kilogram	2018-08-01 	47.98	
13292	P0141	Consumer Price Index	5611004	Dish-washing liquid	Price (Rand)	Monthly	11044	750 Millilitre	2018-08-01 	25.78	
13371	P0141	Consumer Price Index	5611005	Wax shoe polish	Price (Rand)	Monthly	11000	50 Millilitre	2018-08-01 	13.98	
13450	P0141	Consumer Price Index	5611007	Indoor Insecticide	Price (Rand)	Monthly	11022	300 Millilitre	2018-08-01 	26.52	
13529	P0141	Consumer Price Index	5611008	Toiletcare - Disinfectant bleaches	Price (Rand)	Monthly	11044	750 Millilitre	2018-08-01 	27.01	
13608	P0141	Consumer Price Index	5611009	Fabrick softner	Price (Rand)	Monthly	10963	2 Litre	2018-08-01 	..	
13687	P0141	Consumer Price Index	6111001	Pain Killers	Price (Rand)	Monthly	10564	For 24	2018-08-01 	25.81	
13766	P0141	Consumer Price Index	6111002	Cough syrup	Price (Rand)	Monthly	11008	100 Millilitre	2018-08-01 	44.82	
13845	P0141	Consumer Price Index	6111003	Vitamin and mineral supplement	Price (Rand)	Monthly	10567	For 30	2018-08-01 	109.26	
13924	P0141	Consumer Price Index	6111006	Cold and flu medication	Price (Rand)	Monthly	10530	48.8 Gram	2018-08-01 	42.21	
14003	P0141	Consumer Price Index	6111007	Heartburn medication	Price (Rand)	Monthly	11011	150 Millilitre	2018-08-01 	80.44	
14082	P0141	Consumer Price Index	6111009	Sore throat lozenges	Price (Rand)	Monthly	10564	For 24	2018-08-01 	53.33	
14161	P0141	Consumer Price Index	6111010	Laxatives	Price (Rand)	Monthly	10553	For 12	2018-08-01 	16.71	
14240	P0141	Consumer Price Index	6111013	Eyedrops	Price (Rand)	Monthly	10993	10 Millilitre	2018-08-01 	47.83	
14319	P0141	Consumer Price Index	7221002	Diesel	Price (Rand)	Monthly	10737	Per Litre	2018-08-01 	15.84	
14398	P0141	Consumer Price Index	9131005	Printer cartriges	Price (Rand)	Monthly	11015	Each	2018-08-01 	..	
14477	P0141	Consumer Price Index	9341001	Dog food - Pellets	Price (Rand)	Monthly	10937	8 Kilogram	2018-08-01 	124.73	
14556	P0141	Consumer Price Index	9341002	Dog food - tinned	Price (Rand)	Monthly	10908	775 Gram	2018-08-01 	24.32	
14635	P0141	Consumer Price Index	9341003	Cat food - tinned	Price (Rand)	Monthly	10881	385 Gram	2018-08-01 	14.73	
14714	P0141	Consumer Price Index	9341004	Cat food - pellets	Price (Rand)	Monthly	10922	1.75 Kilogram	2018-08-01 	50.29	
14793	P0141	Consumer Price Index	9541007	Printer paper	Price (Rand)	Monthly	11075	For 2500	2018-08-01 	..	
14872	P0141	Consumer Price Index	12131001	Shampoo	Price (Rand)	Monthly	11034	400 Millilitre	2018-08-01 	45.69	
14951	P0141	Consumer Price Index	12131002	Conditioner	Price (Rand)	Monthly	11034	400 Millilitre	2018-08-01 	49.43	
